"","test_trimmed_scaled$td","predict","p0","p1"
"154","0","0",0.383074449795925,0.616925550204075
"155","0","0",0.389296032161058,0.610703967838942
"156","0","0",0.362026540085516,0.637973459914484
"157","0","0",0.372344258906832,0.627655741093168
"158","0","0",0.405960179455356,0.594039820544644
"159","0","0",0.382749021981053,0.617250978018947
"160","0","0",0.38358894106853,0.616411058931471
"161","0","0",0.408841961890176,0.591158038109824
"162","0","0",0.373029801943242,0.626970198056758
"163","0","0",0.375600533057786,0.624399466942214
"164","0","1",0.274371210285339,0.725628789714661
"165","0","1",0.181136698189606,0.818863301810393
"166","0","0",0.388513503395283,0.611486496604717
"167","0","0",0.339031240733223,0.660968759266778
"168","0","0",0.401859598434961,0.598140401565039
"169","0","0",0.361671239614514,0.638328760385486
"170","0","0",0.383991182259109,0.616008817740891
"171","0","0",0.406187457915094,0.593812542084906
"172","1","0",0.372032434318923,0.627967565681077
"173","0","0",0.374131225139883,0.625868774860117
"174","0","0",0.410834675395158,0.589165324604842
"175","0","1",0.287693486411773,0.712306513588227
"176","0","0",0.412341163750374,0.587658836249626
"177","0","0",0.405702490048393,0.594297509951607
"178","0","0",0.397030046603896,0.602969953396104
"179","0","0",0.381029917451463,0.618970082548537
"180","0","0",0.350486911939317,0.649513088060683
"181","0","0",0.389375491577755,0.610624508422245
"182","0","0",0.356245646468471,0.643754353531529
"183","0","0",0.337641905670974,0.662358094329026
"184","0","0",0.355593843697427,0.644406156302573
"185","0","1",0.253809999720419,0.746190000279581
"186","0","1",0.327733057335953,0.672266942664047
"187","0","0",0.43593762842938,0.56406237157062
"188","0","1",0.26353806049356,0.73646193950644
"189","0","0",0.402975098781161,0.597024901218839
"190","0","0",0.387468073715274,0.612531926284726
"191","0","1",0.333748500310709,0.666251499689291
"192","0","0",0.401471472721931,0.598528527278069
"193","0","0",0.342541930501726,0.657458069498273
"194","0","1",0.322119756637184,0.677880243362815
"195","0","0",0.426742073253839,0.573257926746161
"196","0","0",0.406617546343648,0.593382453656352
"197","0","0",0.389581573000367,0.610418426999633
"198","0","0",0.379324933190217,0.620675066809783
"199","0","0",0.400762509676528,0.599237490323472
"200","0","1",0.324940906959134,0.675059093040866
"201","0","0",0.393826972439774,0.606173027560226
"202","0","1",0.333431787001944,0.666568212998056
"203","0","0",0.399759611112321,0.600240388887679
"204","0","0",0.374007413481042,0.625992586518958
