"","win60s","RunName","drowsy","Event_ID","nTime_0","nTime_1","nTime_2","nTime_3","nTime_4","nTime_5","nTime_6","nTime_7","nTime_8","nTime_9","nTime_10","nTime_11","nTime_12","nTime_13","nTime_14","nTime_15","nTime_16","nTime_17","nTime_18","nTime_19","nTime_20","nTime_21","nTime_22","nTime_23","nTime_24","nTime_25","nTime_26","nTime_27","nTime_28","nTime_29","nTime_30","nTime_31","nTime_32","nTime_33","nTime_34","nTime_35","nTime_36","nTime_37","nTime_38","nTime_39","nTime_40","nTime_41","nTime_42","nTime_43","nTime_44","nTime_45","nTime_46","nTime_47","nTime_48","nTime_49","nTime_50","nTime_51","nTime_52","nTime_53","nTime_54","nTime_55","nTime_56","nTime_57","nTime_58","nTime_59","nTime_60"
"11",11,"A_M1001YM01_1S1RNA",FALSE,202,-0.96679,-0.96679,-1.8017,-1.6699,-1.14255,-1.1206,-1.01085,-1.0986,-1.3183,-0.8789,-0.98879,-1.1865,0.505145,-0.065875,2.48285,-0.483405,-1.0547,-0.373535,-1.0547,-1.0547,-0.52734,-0.57128,-0.61523,-1.4062,-1.4062,-1.4502,-1.1426,-0.043891,-1.3623,-1.62605,0.96679,-0.8349,1.66985,2.19715,2.04345,6.06445,3.99895,6.8115,5.8447,6.87735,5.3173,5.2734,5.64695,6.13025,6.50385,6.9433,5.7787,4.5703,6.8994,7.6025,6.24025,6.65765,5.7128,6.4599,6.7675,6.2182,6.7236,8.1738,8.7011,4.9658,0.8789
"12",12,"A_M1001YM01_1S1RNA",FALSE,203,4.79,9.4262,7.5585,5.6909,0.0658875,0.878975,5.93255,2.7246,-2.24115,-1.36225,-0.74706,12.766,4.32855,-2.417,-1.9775,-2.4388,-0.92284,1.93355,0.747,-0.52734,-1.03275,-1.4502,-0.96679,-1.4282,-1.5821,-0.988745,-0.83488,-0.593255,-0.52734,-0.92284,-1.6699,1.47215,-4.8339,-3.8671,2.6807,1.4062,-0.15384,-2.3071,0.68115,0.94496,-0.26353,-1.626,-1.0107,0.72509,-0.527295,-0.505365,0.241695,-0.725135,-0.131854,-0.83495,-1.0107,0.878965,5.16355,1.9995,-3.66945,-3.9991,-2.26325,-1.582,0.0219190425,1.23045,1.4941
"13",13,"A_M1001YM01_1S1RNA",FALSE,203,1.2747,-1.0767,-0.856925,-0.81298,-0.65917,0.43942,-1.07665,-1.14255,-1.27445,-1.626,-1.45025,-1.7578,-1.9775,-1.626,-1.67,-1.8896,-1.8457,-1.40615,-1.7139,-1.64795,-1.6699,-1.7139,-1.9336,-1.7578,-2.17525,-2.0215,-1.604,-1.45015,-1.4941,-0.90088,-1.7139,-1.6699,-1.0547,-1.0547,-1.0547,-3.164,-2.37295,-2.5488,0.834985,0.61523,-0.90087,-0.30761,-1.34045,-1.1206,-1.47215,-1.0107,-1.4502,-0.83495,-1.0107,-1.38425,-1.3183,-1.12055,-0.593245,-1.1426,-1.2744,-0.3955,2.0215,0.19775,-0.26367,-0.72509,-4.2187
"14",14,"A_M1001YM01_1S1RNA",FALSE,203,-3.4277,-1.0986,-0.8789,-1.0107,-0.395505,-0.57128,-1.3183,-0.48339,-0.043945,0.087898,-0.3955,-0.43945,-0.92284,-1.1426,-0.35156,0.35156,-0.3955,-0.26367,-0.373545,-1.4062,-1.9336,0.263655,-0.878945,-0.043955729,-0.263615,-1.7139,-1.7139,-1.2085,-0.83495,-0.022026145,-1.53815,-0.70312,-0.52734,-1.1865,-0.922745,-1.0547,0.08789,-0.681085,-0.63717,-0.17578,-0.659235,-0.96679,-0.96679,-1.01075,-0.79102,-1.0328,-0.94482,-1.4722,-1.4941,-0.81298,-0.70312,-1.1426,-1.18655,-1.4941,-1.2305,-1.1426,-1.4941,-1.16455,-1.2744,-0.681145,-0.83495
"15",15,"A_M1001YM01_1S1RNA",FALSE,203,-0.74706,-1.4502,-1.0986,-0.70312,-1.1865,-1.1865,-1.2305,-1.1426,-1.626,-1.626,-1.2744,-1.2744,-0.65917,-0.131855,-0.043945,-0.6372,-1.1865,0.109863,-1.16455,-1.05475,-0.878885,-0.3955,-0.70312,-1.0547,-0.57128,-0.52734,-0.76904,-1.0986,-0.74706,-1.4062,-1.56005,0.593265,-0.043945,-0.48339,-0.52734,-0.61523,-1.1426,-0.8789,-1.0547,-0.35154,1.07665,-0.043945,-1.4062,-1.4941,-0.70312,-0.8789,-0.593255,-0.26367,-0.17578,-0.24164,-0.52734,-0.043945,-0.21972,-0.74706,0.856875,-0.79101,-0.96679,-1.1206,-0.219715,-0.28565,-0.8789
"16",16,"A_M1001YM01_1S1RNA",FALSE,204,-0.43945,-0.48339,-0.17578,-1.0107,-0.92284,-1.38425,-1.0986,-1.2744,-0.41748,-1.07665,-1.2744,-0.48339,-0.3955,0.593375,-0.90084,-1.38425,-1.4941,-0.35156,-0.90087,-1.1865,-1.0986,-0.92284,-0.30759,-0.83495,-0.24172,-0.92284,-0.63715,-1.0547,-2.1534,-1.6699,-1.56005,-1.2305,-1.5381,-1.8017,-4.37255,-6.0205,4.6143,6.4819,-3.3618,-4.5922,-1.8896,0.37351,-0.08789,-0.1098415,-0.417475,-1.9995,-2.2851,-0.92278,-2.30705,-0.6372,0.307535,-7.5105e-05,-0.791055,0.373545,2.1753,-1.5161,-2.1753,-2.8344,-1.0547,-0.988755,-1.0107
"17",17,"A_M1001YM01_1S1RNA",FALSE,205,-1.2305,-1.604,-4.3066,-3.55955,-3.64745,-3.49365,-3.07625,-2.94435,-3.53755,-3.4277,-3.62545,-4.28465,-3.4496,-2.85645,-4.26265,-3.6914,-3.6036,-3.2519,-4.0429,-4.52635,-4.96575,-1.91165,-4.0649,-4.06505,-3.58155,-4.6142,-3.6914,-3.47165,-4.04285,-4.4604,-3.53755,-2.5928,-3.0761,-4.6582,-4.4824,-4.50435,-3.164,-3.49365,-4.68015,-3.80125,-3.3838,-3.3398,-3.93305,-3.4717,-2.9883,-2.0654,-2.94435,-6.48185,-3.73525,-1.69185,-3.99895,-2.7685,-2.5928,-4.94375,-3.208,-2.96635,-2.61475,-3.7794,-3.3618,-3.49365,-4.1748
"18",18,"A_M1001YM01_1S1RNA",FALSE,205,-3.6474,-3.3618,-3.164,-2.4609,-3.73515,-5.33915,-3.25185,-3.4936,-2.10935,-2.2633,-3.25185,-2.373,-1.2524,-1.4282,-1.18645,-1.1426,-1.58195,0.175955,-0.856925,0.68132,-0.966965,-2.1972,-3.75735,-1.4942,-2.2851,-4.0869,-6.0644,-4.7021,-5.8887,-5.1855,-4.6142,-4.6802,-4.3506,-4.3066,-5.18545,-3.07615,-4.06495,-4.24065,-4.2187,-4.3506,-4.8779,-4.5703,-4.4165,-4.2627,-4.4384,-5.0097,-4.3945,-4.7021,-4.2187,-3.889,-4.5264,-5.05385,-4.5701,-4.7241,-4.2627,-3.4717,-2.3951,-1.86775,-1.4941,-0.37353,0.3955
"19",19,"A_M1001YM01_1S1RNA",FALSE,205,-0.96679,-0.922985,-0.131921,0.13179,0.3955,0.043902,-0.08789,1.09865,0.17578,1.56,2.4829,2.54875,2.1315,3.0761,3.4057,2.3071,2.48285,3.4717,2.6367,4.6584,4.4823,2.4609,1.40625,2.3949,1.5161,2.43895,2.1972,1.9336,2.5268,2.9444,2.6367,1.8896,1.582,1.582,2.6806,2.5488,3.208,2.79045,2.5488,1.7578,1.7139,2.0214,3.01025,2.8564,2.26305,2.0654,1.8017,1.93375,1.0986,3.99915,3.1199,0.39546,-0.17576,-0.74706,-0.87888,-0.96679,0.61523,0.0878875,-1.8017,-0.5494,1.07675
"20",20,"A_M1001YM01_1S1RNA",FALSE,206,0.790905,0.044052,-1.1646,2.6368,2.35115,0.8789,1.582,-0.373425,0,0.79101,1.4722,1.0548,2.1094,1.9775,2.2412,0.70312,0.549315,-0.21972,0.21972,0.21972,0.46142,0.219895,-1.0547,-1.5381,-1.9775,-2.307,-3.164,-2.9223,-2.9224,-4.3945,-5.1636,-5.91075,-4.065,-5.3173,-4.32865,-4.1748,-4.6142,-4.68005,-8.5691,-2.7906,-4.9658,-4.7021,-3.97695,-0.241865,1.1206,-0.900745,-2.7904,-2.81265,-1.1865,-0.61523,-0.637115,-0.24176,0.593255,0.8789,1.5381,1.7359,1.4502,1.2084,2.4606,1.3623,2.63645
"21",21,"A_M1001YM01_1S1RNA",FALSE,301,5.40555,8.01995,15.293,26.5425,29.355,30.959,71.233,179.055,212.825,285.93,321.105,235.04,3.47215,-8.13005,-2.7029,1.0328,0.593345,0.592935,0.0219295,-1.8017,0.52704,-0.48339,-0.98879,-1.4063,-0.966745,-0.747,-0.637265,-0.61523,-1.2744,-1.2305,-0.70312,-1.2744,-0.329455,-1.2305,-1.05485,-0.72505,-0.70312,-1.1865,-1.2304,-1.472,-1.0546,-1.58215,-1.3623,-1.4502,-1.4941,0.219555,-1.27425,-1.7578,-1.71385,-1.5161,-1.582,-1.3623,-0.571195,-1.05465,-0.50539,-0.72509,-0.944815,-1.3623,-0.70312,-0.94473,-0.769035
"22",22,"A_M1001YM01_1S1RNA",FALSE,304,-0.8789,-1.01065,-1.3403,-1.1864,-1.8896,-1.8896,-1.62605,-1.45,-2.6146,-5.3613,-6.78935,-6.7675,-6.1302,-6.28395,-6.65765,-6.7455,-5.9105,-6.98725,-7.1849,-9.8437,-6.1523,-6.72345,-6.372,-6.50375,-6.2841,-6.2183,-9.2724,-7.185,-6.6357,-5.9326,-5.9326,-6.1962,-6.2402,-2.8565,-1.05455,-3.2959,2.4388,-2.3952,6.2838,21.072,28.257,27.488,21.006,20.347,21.885,24.5215,25.532,24.214,24.3235,23.818,23.5765,22.28,22.192,24.3455,22.632,22.544,5.88855,0.1099675,1.58195,-0.791115,-0.74706
"23",23,"A_M1001YM01_1S1RNA",FALSE,304,0.548775,0.285705,-1.3183,-1.03315,-1.56005,-1.4941,-1.0544,-0.900895,1.38435,-0.35156,0.417475,-1.91155,-1.9775,-0.13183,0.878815,0.52734,-0.241695,-0.13183,0.461465,0.08789,-0.92284,0.65917,0.505345,-0.37349,-0.30761,0.17578,0.175865,-0.96679,0.39546,-2.1096,-6.2403,-8.76705,-11.909,-13.8425,-13.645,-13.887,-11.7115,-4.68035,-5.09755,-1.1864,-2.17555,-1.07665,0.08789,0.351665,-1.4721,-6.21845,-7.86595,-7.6905,-7.7123,-10.195,-8.83315,-8.12985,-7.3388,-8.89885,-7.471,-3.0322,-0.988825,0.74713,4.02085,6.10845,13.0735
"24",24,"A_M1001YM01_1S1RNA",FALSE,304,17.0285,18.6985,15.732,16.853,18.7425,16.831,15.5785,8.3717,1.51615,-3.7792,0.857185,0.8348,-0.417475,-1.27455,-2.41725,-2.1533,-2.439,-3.2519,-3.2959,-3.53755,-5.1416,-4.7683,-4.15285,-3.4497,-3.55975,-3.3838,-3.6254,-3.955,-3.3398,-3.2519,-3.2518,-3.80115,-4.4824,-2.9664,-5.18555,-4.1308,-3.55955,-3.18585,-3.16415,-2.7685,-5.4051,-4.0429,-3.95475,-3.73535,-2.8125,-3.42765,-3.25185,-2.9443,-4.02095,-3.4058,-2.5489,-2.417,-3.8451,-3.07605,-3.6475,-3.999,-2.8565,-2.9004,-2.5928,-2.79035,-2.8564
"25",25,"A_M1001YM01_1S1RNA",FALSE,304,-2.9004,-3.7353,-5.40515,-4.2408,-3.4497,-2.37295,-2.96645,-1.9775,-2.6805,-3.7353,-4.087,-3.5595,-3.5156,-3.71335,-3.77915,-3.6474,-4.79015,-4.92185,-2.6367,-3.80125,-4.17495,-4.3945,-3.53755,-3.4717,-3.66945,-3.60345,-5.0097,-5.5371,-2.6806,-2.7465,-4.1528,-3.6914,-4.1308,-4.68015,-3.5377,-1.7139,-2.19725,-1.2744,-1.0547,-2.373,0.37353,0.30761,-0.307635,-0.285515,-4.0429,-2.8785,-6.17425,-4.79,-4.3505,-4.1308,-4.08695,-4.37255,-4.3945,-5.0097,-4.32865,-4.02095,-4.2847,-4.63625,-4.81185,-5.00965,-4.81225
"26",26,"A_M1001YM01_1S1RNA",FALSE,305,-3.5156,-5.603,-3.7574,-2.02145,-0.96679,-1.34045,0.61523,-0.52734,0.92284,1.1865,3.1201,2.9003,3.0102,2.5488,0.83491,0.26367,1.86775,-0.70312,0.70301,0.1319185,0.46142,-0.70325,0.527555,0.13183,1.38425,0.1979,1.0986,0.30761,-1.40625,0.043945,2.10935,0.24176,-0.13183,-0.0438805,0,-0.15402,0.21985,-0.50528,-0.241545,0.17578,0.043945,-0.19775,0.26367,0.8789,0.219875,-0.681145,-0.19775,0.153915,-0.417435,-0.06581,-1.0547,1.56005,0.52734,-0.26367,0.54929,-0.65917,-0.96698,-0.32963,-0.35156,-0.79101,-0.92284
"27",27,"A_M1001YM01_1S1RNA",FALSE,306,-1.8896,-1.2524,-0.856845,-1.8457,-1.1206,-0.21972,-2.0215,-0.87903,-1.0546,-1.0986,-1.9995,-0.505365,-2.5928,-2.83445,-2.3946,-2.8125,-3.8672,-3.9989,-5.3613,-4.6142,-4.5703,-4.8339,-5.18545,-5.4487,-5.33915,-5.16375,-3.999,-3.889,-4.6142,-4.9658,-5.84455,-5.9106,-3.20815,-4.3507,-4.5703,-4.61425,-5.47125,-5.00965,-3.8013,-4.5703,-5.0097,-5.3173,-6.416,-7.163,-5.9326,-5.3173,-5.9327,-6.50385,-5.7568,-6.2841,-5.00985,-7.47075,-6.0205,-5.75695,-5.7128,-6.21825,-5.8447,-7.47075,-6.24005,-5.2734,-5.3831
"28",28,"A_M1001YM01_1S1RNA",FALSE,306,-6.7893,-6.4599,-5.18545,-6.92135,-5.9326,-6.35005,-6.9654,-4.61435,-3.801,-4.35055,-4.26265,-4.3506,-4.46045,-3.47165,-5.64695,-4.3066,-5.22935,-4.28475,-2.85625,-1.4941,-1.20835,-1.99965,-1.47225,-0.8789,-0.131665,0.153805,-1.4281,0,0,-0.13183,-1.4942,-0.79101,-0.96679,-0.834845,-2.0214,-2.02175,-1.0546,-1.16455,-0.791075,-1.3183,-0.83495,-1.3183,-0.96679,-0.83495,-0.83495,-1.604,-1.3183,-0.90102,-0.791135,-1.03275,-0.395545,-4.1966,-6.5477,-10.1075,-16.479,-24.4765,-27.3335,-22.763,-24.104,-24.082,-25.3125
"29",29,"A_M1001YM01_1S1RNA",FALSE,308,-19.732,-17.556,-22.39,-24.016,-23.379,-19.5555,-21.906,-24.7415,-25.1145,-22.676,-23.247,-24.082,-22.522,-12.546,-8.50365,-3.31805,-0.6372,-1.80145,2.52665,4.2847,5.9112,5.6689,4.0869,4.2408,4.8555,6.48185,4.4163,4.2187,4.35045,4.89985,3.6914,4.5043,5.2292,4.0429,5.0097,5.6688,3.999,5.0097,4.10885,4.1308,5.8227,5.1196,4.4824,2.5049,0.26384,-0.417475,0.85684,-1.5161,-0.54944,-0.83495,-0.72494,-0.043945,-0.21983,-0.329585,-0.76904,0.28577,-0.13183,0.96664,0.74706,3.5594,4.1748
"30",30,"A_M1001YM01_1S1RNA",FALSE,308,4.8339,2.7466,4.3503,4.41645,4.3067,3.7574,3.8453,4.28445,3.0761,3.49355,4.2627,3.25185,3.8012,3.1201,2.5708,3.27385,1.86775,2.83445,2.8125,3.999,3.8672,3.8232,1.4283,1.648,2.8125,2.1314,2.1754,5.58105,3.999,3.0761,3.05415,5.4271,3.71335,3.47165,0.98885,-0.37353,2.2413,5.6247,5.9765,3.91095,4.70195,2.9664,3.0319,4.70235,3.29595,3.36195,3.2959,3.9112,4.57005,2.02135,0.92284,8.85475,6.5917,5.9985,10.0855,8.26175,-3.999,0.15372,2.10925,2.06555,2.1974
"31",31,"A_M1001YM01_1S1RNA",FALSE,311,0.527365,-1.36245,-2.395,-2.2412,-2.0655,-2.2192,-2.0435,-1.95555,-1.582,-2.2851,-1.86765,-2.2851,-1.7139,-1.8457,-2.5049,-1.4062,-1.8017,-2.1312,-2.2412,-2.1972,-2.373,-1.97765,-1.4941,-1.36225,-2.0654,-1.7358,-3.4277,-1.91155,-0.28575,-0.21972,-2.1533,-1.5601,-1.1865,-1.1426,-1.82385,-1.4941,-1.34025,-1.6699,-1.626,-1.8017,-1.9774,-1.31845,-1.648,-1.3844,-1.05465,-0.900915,-0.944815,-2.24105,-1.5381,-1.38425,-1.1426,-1.2744,-0.74706,-1.0766,-0.681145,-1.3623,-0.8789,-0.8789,-0.21972,-0.681145,-0.96679
"32",32,"A_M1001YM01_1S1RNA",FALSE,311,-0.96679,-1.0986,-1.0107,-0.373615,-1.2305,-1.1865,-1.1865,-1.0547,-1.3183,-0.65917,-0.48339,-0.96679,-1.2305,-0.43945,-1.2305,-0.505495,-0.17578,-0.52734,-0.43945,-0.83495,-0.26367,-0.21972,0.35156,-0.52734,-0.57128,-0.65917,-0.30761,-0.96679,-0.3955,0.417475,-4.2915e-05,-0.57128,-0.61523,-0.65917,-0.79101,-0.3955,-0.13183,-0.30761,-0.61523,-0.769035,0.043945205,-0.21972,-0.30761,-1.1646,-2.0215,0.043945,-1.0986,-0.17578,-0.65917,-0.505365,-1.0986,-1.2305,-0.659195,-0.856905,-0.65917,-0.83495,-0.43945,-0.5933,-1.07665,-0.8789,-0.8789
"33",33,"A_M1001YM01_1S1RNA",FALSE,311,-0.505325,-0.48339,-0.57128,-1.01065,-0.54944,-1.1426,-1.1426,-0.76906,-1.0986,-0.54912,-0.61523,-0.65917,-1.4502,-0.790965,-0.85699,-0.57128,-1.0547,-1.01065,-0.307915,0.08789,-1.2744,-1.0547,-1.0547,-1.0107,-0.92284,-0.8789,-1.2963,-1.2305,-0.61523,-0.35156,-0.92289,-1.4062,-0.74706,-0.65917,-0.74706,0.68117,-0.70312,-0.43945,-0.74706,-0.615125,-0.703205,-0.43945,0.26367,-0.944795,-1.0107,-1.1865,-1.1865,-0.76893,0.17565,0.57128,-0.28556,-1.1426,-0.70312,-0.65917,-0.52734,-0.52734,-0.3077,0.21972,0.46142,-1.47215,-1.0986
"34",34,"A_M1001YM01_1S1RNA",FALSE,311,-1.0986,-0.593215,-0.37349,-0.26367,-0.24165,-0.74706,-0.70312,-0.659235,-0.61523,-0.61523,-0.57128,-0.197755,-0.52734,-0.61523,-0.61523,-0.52734,-0.26367,-0.17578,-0.92284,-0.834975,-0.26367,-0.61523,0.17578,-0.74706,-0.8789,-0.8789,-0.92284,-0.8789,-0.48339,-0.0219725,-0.109778,-1.0107,-1.0107,-0.96679,-0.74706,-0.74706,-0.70312,-0.65917,-0.65917,-0.48335,-0.35156,-1.0547,-1.1426,-0.35156,-0.70312,-0.54927,-1.2744,-1.0547,-1.3623,-1.8017,-1.53805,-1.4502,-1.1865,-1.2085,-1.3183,-1.1866,-1.5381,-1.4502,-1.4502,-1.20865,-1.3183
"35",35,"A_M1001YM01_1S1RNA",FALSE,311,-1.3183,-1.3183,-1.3183,-1.3183,-1.3623,-1.2744,-1.1865,-1.4502,-1.2305,-1.7139,-1.4941,-1.29635,-0.70312,0.21972,0.10986,0.52734,0.988745,-1.8457,-1.626,-0.57128,-0.96679,-0.35156,-0.043945,-0.13183,-0.3955,-1.0986,-0.35199,-0.08789,-0.57128,-0.17578,-0.17578,-0.79101,-0.17578,-0.043945,0.000214575,-1.3182,-1.16455,-0.70312,-0.74706,-1.3623,-1.4503,-1.0548,-0.81298,-1.4279,-1.1426,-1.07665,-0.92284,-0.92284,-0.92284,-0.70312,-1.582,-1.6478,-1.18695,-1.1426,-1.1865,-0.74706,-0.96679,-1.0986,-1.2085,-0.83495,-0.79101
