"","RunName","win60s","Event_ID","drowsy","nTime_0","nTime_1","nTime_2","nTime_3","nTime_4","nTime_5","nTime_6","nTime_7","nTime_8","nTime_9","nTime_10","nTime_11","nTime_12","nTime_13","nTime_14","nTime_15","nTime_16","nTime_17","nTime_18","nTime_19","nTime_20","nTime_21","nTime_22","nTime_23","nTime_24","nTime_25","nTime_26","nTime_27","nTime_28","nTime_29","nTime_30","nTime_31","nTime_32","nTime_33","nTime_34","nTime_35","nTime_36","nTime_37","nTime_38","nTime_39","nTime_40","nTime_41","nTime_42","nTime_43","nTime_44","nTime_45","nTime_46","nTime_47","nTime_48","nTime_49","nTime_50","nTime_51","nTime_52","nTime_53","nTime_54","nTime_55","nTime_56","nTime_57","nTime_58","nTime_59","nTime_60"
"5295","A_M1062OF01_1S1RNA",25,304,FALSE,-3.20795,-3.12,-2.85655,-2.9443,-2.96645,-2.4609,-3.9552,-2.5049,-3.36175,-4.43855,-3.47165,-3.29605,-2.02135,-4.92185,-3.9771,-3.47145,-3.6695,-4.72415,-3.8672,-2.0874,-4.83405,-2.8126,-5.18575,-3.88905,-3.23,-2.9004,-3.97685,-4.6362,-4.8339,-3.6035,-3.1419,-4.3066,-2.13125,-3.9111,-3.6034,-3.42785,-2.8564,-3.7353,-3.6035,-3.7353,-3.0761,-4.0209,-3.2959,-2.9223,-3.6474,-3.93305,-3.6693,-2.90045,-3.5156,-3.5156,-3.5156,-2.5488,-3.8232,-2.4169,-3.2519,-4.3285,-3.66935,-3.7353,-2.17525,-3.8232,-3.8232
"5296","A_M1062OF01_1S1RNA",26,305,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6474,-2.68075,-1.0547,-3.691,-1.9557,-0.483265,-0.900915,-1.45025,0.17578,0.17578,1.86765,4.24085,0.966745,3.7353,0.96679,2.13135,3.1201
"5297","A_M1062OF01_1S1RNA",27,306,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4943,2.5928,0.110076,1.2303,0.59339,1.8017,0.6151,2.4609,-0.02188667,0.26369,-0.593255,-0.79101,-0.0440095,-0.043945,-1.07655,-0.922715,0.50511,-0.74711,-1.3403,-1.4062,-0.263585,-2.1971,-1.8017,-3.5155,0,-2.0215,-3.03215,-3.2739,-2.04345
"5298","A_M1062OF01_1S1RNA",28,306,FALSE,-2.9663,-1.0107,-0.3955,-1.0766,-2.7026,-2.1314,-2.7685,-0.659175,-1.5381,-0.65928,0.043795,-0.307635,-0.3955,-0.110035,1.71395,-2.373,-2.9223,-2.74655,-2.68075,-3.1201,-4.50435,-3.6253,-7.36085,-4.0427,-3.60355,-3.2082,-3.186,-4.24045,-5.71285,-5.5152,-4.26285,-4.5703,-3.8232,-3.5376,-4.2187,-4.3944,-6.7675,-5.38325,-4.81175,-3.3398,-5.64685,-5.07555,-4.21875,-5.40535,-5.2295,-5.8447,-3.33975,-3.7353,-7.9319,-8.3495,-1.23045,-4.812,-4.2621,-7.53705,-4.37235,-4.9216,-4.65875,-3.8889,-4.96575,-7.80025,-4.59215
"5299","A_M1062OF01_1S1RNA",29,306,FALSE,-6.72355,-5.38355,-4.3946,-2.5049,-3.1861,-7.3607,-6.2183,-5.4271,-7.53675,-4.4384,-4.24065,-5.3173,-3.6254,-6.1745,-5.77875,-3.36205,-5.5152,-7.93205,-4.65795,-5.4931,-3.6035,-4.6801,-5.95475,-4.3724,-4.6142,-6.85555,-5.2075,-3.3398,-4.19645,-5.1854,-4.87805,-4.17485,-3.8672,-1.47215,-2.5049,-1.4721,-2.08725,-2.04335,-0.19775,0.08789,-0.417475,-1.0547,-1.0547,-0.19771,-0.593125,-2.1533,-0.241785,0.41754,0.615315,0.922565,-0.41711,-1.42835,-0.17578,-1.4941,-0.39559,-0.022144,0.900915,-0.79101,-0.175735,1.3843,-1.4283
"5300","A_M1062OF01_1S1RNA",30,308,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.998,-13.5125,-22.2585,-15.535,-17.49,-18.6105,-28.41,-26.301,-19.995,-17.7545,-22.192,-34.4095,-21.884,-11.9315,-6.19635,-1.80155,-1.42835,0.944555,3.9111,1.2963,2.659,5.2514,5.4492
"5301","A_M1062OF01_1S1RNA",31,308,FALSE,5.5371,3.93295,3.1201,2.90025,5.55905,3.18605,0.61523,1.18635,5.14165,4.9002,4.6801,2.8126,0.81294,2.2412,1.60415,2.5706,5.1416,2.5049,5.3612,2.3292,2.87815,5.2516,2.87825,3.7792,3.7353,3.14205,4.2628,2.5049,4.3725,2.76885,-2.4829,-1.58205,-2.9663,1.4721,-0.06600083,-2.9222,-0.70312,-1.7795,-1.802,-3.99905,0.52734,-1.1865,-2.7468,-0.52734,-1.73595,-0.593215,0.241565,0.593255,2.3291,2.5488,3.2519,2.4828,2.9443,5.8666,2.8125,4.4603,2.41705,1.2305,7.55855,2.35115,0.087609
"5302","A_M1062OF01_1S1RNA",32,309,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37255,4.0869,6.2621,4.89985,3.73535,-1.1206,1.7356,13.5785,12.041,6.9216
"5303","A_M1062OF01_1S1RNA",33,311,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0877375,0.21972,-0.703055,-1.1206,-1.8676,-1.53805,-0.043945,-0.08789,-1.0107,-1.0986,-0.0218225,-0.79101,-1.42825,-1.0107,-0.39542,-0.2856,-0.43949,-0.0880615,-1.55995,-1.1865,-0.988825,0.131835,-0.08789,-0.263735,-0.43945,-0.043945,-0.131748,-0.65917,-0.90072,-0.32967,0.17565,-0.43945,-1.4502,-1.14275,0,-0.08789,-1.5381,0.5712,-0.79101,-0.043945,-1.18645,-0.351515,0.26367,0.3955,-1.0767,-0.8789,0.17578,-0.65917,-0.41735,-0.65917
"5304","A_M1062OF01_1S1RNA",34,311,FALSE,-0.65917,-0.61523,-0.57128,-0.79101,-0.3955,-0.021886915,-0.30761,-0.79101,-0.63716,0.043945,-0.615275,-0.57128,-0.46138,-0.3955,-0.17578,-0.61523,-1.3183,0.08789,0.79116,0.15381,-0.3955,-1.1425,-0.83495,-0.83495,-0.373425,-0.48324,-0.57128,-0.43958,-0.8789,-0.043945,-0.30761,-1.16455,-0.79101,-0.96679,-0.79101,-0.8789,-0.79101,-0.834825,-0.35156,-0.703035,-0.13183,-0.08789,-1.29635,-0.351645,-0.6372,-0.43945,-0.3955,-1.3183,-0.74719,-1.8896,-2.13135,-1.3623,-1.3183,-0.988745,-1.0986,-1.0547,-1.0986,-1.8457,-1.1426,-1.0107,-1.0107
