"","RunName","win60s","c"
"171","A_M1002YM01_2S2RNA",10,202
"172","A_M1002YM01_2S2RNA",11,203
"173","A_M1002YM01_2S2RNA",12,203
"174","A_M1002YM01_2S2RNA",13,203
"175","A_M1002YM01_2S2RNA",14,203
"176","A_M1002YM01_2S2RNA",15,205
"177","A_M1002YM01_2S2RNA",16,205
"178","A_M1002YM01_2S2RNA",17,205
"179","A_M1002YM01_2S2RNA",18,205
"180","A_M1002YM01_2S2RNA",19,301
"181","A_M1002YM01_2S2RNA",20,304
"182","A_M1002YM01_2S2RNA",21,304
"183","A_M1002YM01_2S2RNA",22,304
"184","A_M1002YM01_2S2RNA",23,304
"185","A_M1002YM01_2S2RNA",24,305
"186","A_M1002YM01_2S2RNA",25,306
"187","A_M1002YM01_2S2RNA",26,306
"188","A_M1002YM01_2S2RNA",27,307
"189","A_M1002YM01_2S2RNA",28,308
"190","A_M1002YM01_2S2RNA",29,308
"191","A_M1002YM01_2S2RNA",30,311
"192","A_M1002YM01_2S2RNA",31,311
"193","A_M1002YM01_2S2RNA",32,311
"194","A_M1002YM01_2S2RNA",33,311
"195","A_M1002YM01_2S2RNA",34,311
"196","A_M1002YM01_2S2RNA",35,311
"197","A_M1002YM01_2S2RNA",36,311
"198","A_M1002YM01_2S2RNA",37,311
"199","A_M1002YM01_2S2RNA",38,311
"200","A_M1002YM01_2S2RNA",39,311
"201","A_M1002YM01_2S2RNA",40,311
"202","A_M1002YM01_3S3RNA",1,111
"203","A_M1002YM01_3S3RNA",2,111
"204","A_M1002YM01_3S3RNA",3,111
"205","A_M1002YM01_3S3RNA",4,105
"206","A_M1002YM01_3S3RNA",5,102
"207","A_M1002YM01_3S3RNA",6,102
"208","A_M1002YM01_3S3RNA",7,102
"209","A_M1002YM01_3S3RNA",8,103
"210","A_M1002YM01_3S3RNA",9,103
"211","A_M1002YM01_3S3RNA",10,106
"212","A_M1002YM01_3S3RNA",11,106
"213","A_M1002YM01_3S3RNA",12,106
"214","A_M1002YM01_3S3RNA",13,202
"215","A_M1002YM01_3S3RNA",14,203
"216","A_M1002YM01_3S3RNA",15,203
"217","A_M1002YM01_3S3RNA",16,203
"218","A_M1002YM01_3S3RNA",17,203
"219","A_M1002YM01_3S3RNA",18,205
"220","A_M1002YM01_3S3RNA",19,205
"221","A_M1002YM01_3S3RNA",20,205
"222","A_M1002YM01_3S3RNA",21,205
"223","A_M1002YM01_3S3RNA",22,301
"224","A_M1002YM01_3S3RNA",23,304
"225","A_M1002YM01_3S3RNA",24,304
"226","A_M1002YM01_3S3RNA",25,304
"227","A_M1002YM01_3S3RNA",26,304
"228","A_M1002YM01_3S3RNA",27,305
"229","A_M1002YM01_3S3RNA",28,306
"230","A_M1002YM01_3S3RNA",29,306
"231","A_M1002YM01_3S3RNA",30,307
"232","A_M1002YM01_3S3RNA",31,307
"233","A_M1002YM01_3S3RNA",32,311
"234","A_M1002YM01_3S3RNA",33,311
"235","A_M1002YM01_3S3RNA",34,311
"236","A_M1002YM01_3S3RNA",35,311
"237","A_M1002YM01_3S3RNA",36,311
"238","A_M1002YM01_3S3RNA",37,311
"239","A_M1002YM01_3S3RNA",38,311
"240","A_M1002YM01_3S3RNA",39,311
"241","A_M1002YM01_3S3RNA",40,311
"242","A_M1002YM01_3S3RNA",41,311
"243","A_M1002YM01_3S3RNA",42,311
"244","A_M1003YM02_1S2RNA",1,111
"245","A_M1003YM02_1S2RNA",2,111
"246","A_M1003YM02_1S2RNA",3,111
"247","A_M1003YM02_1S2RNA",4,103
"248","A_M1003YM02_1S2RNA",5,102
"249","A_M1003YM02_1S2RNA",6,105
"250","A_M1003YM02_1S2RNA",7,105
"251","A_M1003YM02_1S2RNA",8,104
"252","A_M1003YM02_1S2RNA",9,106
"253","A_M1003YM02_1S2RNA",10,106
"254","A_M1003YM02_1S2RNA",11,201
"255","A_M1003YM02_1S2RNA",12,203
"256","A_M1003YM02_1S2RNA",13,203
"257","A_M1003YM02_1S2RNA",14,203
"258","A_M1003YM02_1S2RNA",15,203
"259","A_M1003YM02_1S2RNA",16,204
"260","A_M1003YM02_1S2RNA",17,205
"261","A_M1003YM02_1S2RNA",18,205
"262","A_M1003YM02_1S2RNA",19,205
"263","A_M1003YM02_1S2RNA",20,301
"264","A_M1003YM02_1S2RNA",21,304
"265","A_M1003YM02_1S2RNA",22,304
"266","A_M1003YM02_1S2RNA",23,304
"267","A_M1003YM02_1S2RNA",24,304
"268","A_M1003YM02_1S2RNA",25,305
"269","A_M1003YM02_1S2RNA",26,306
"270","A_M1003YM02_1S2RNA",27,306
"271","A_M1003YM02_1S2RNA",28,308
"272","A_M1003YM02_1S2RNA",29,308
"273","A_M1003YM02_1S2RNA",30,309
"274","A_M1003YM02_1S2RNA",31,311
"275","A_M1003YM02_1S2RNA",32,311
"276","A_M1003YM02_1S2RNA",33,311
"277","A_M1003YM02_1S2RNA",34,311
"278","A_M1003YM02_1S2RNA",35,311
"279","A_M1003YM02_1S2RNA",36,311
"280","A_M1003YM02_1S2RNA",37,311
"281","A_M1003YM02_1S2RNA",38,311
"282","A_M1003YM02_1S2RNA",39,311
"283","A_M1003YM02_1S2RNA",40,311
"284","A_M1003YM02_1S2RNA",41,311
"285","A_M1003YM02_2S3RNA",1,111
"286","A_M1003YM02_2S3RNA",2,111
"287","A_M1003YM02_2S3RNA",3,111
"288","A_M1003YM02_2S3RNA",4,102
"289","A_M1003YM02_2S3RNA",5,102
"290","A_M1003YM02_2S3RNA",6,102
"291","A_M1003YM02_2S3RNA",7,103
"292","A_M1003YM02_2S3RNA",8,103
"293","A_M1003YM02_2S3RNA",9,104
"294","A_M1003YM02_2S3RNA",10,106
"295","A_M1003YM02_2S3RNA",11,106
"296","A_M1003YM02_2S3RNA",12,202
"297","A_M1003YM02_2S3RNA",13,203
"298","A_M1003YM02_2S3RNA",14,203
"299","A_M1003YM02_2S3RNA",15,203
"300","A_M1003YM02_2S3RNA",16,203
"301","A_M1003YM02_2S3RNA",17,205
"302","A_M1003YM02_2S3RNA",18,205
"303","A_M1003YM02_2S3RNA",19,205
"304","A_M1003YM02_2S3RNA",20,206
"305","A_M1003YM02_2S3RNA",21,301
"306","A_M1003YM02_2S3RNA",22,304
"307","A_M1003YM02_2S3RNA",23,304
"308","A_M1003YM02_2S3RNA",24,304
"309","A_M1003YM02_2S3RNA",25,304
"310","A_M1003YM02_2S3RNA",26,306
"311","A_M1003YM02_2S3RNA",27,306
"312","A_M1003YM02_2S3RNA",28,306
"313","A_M1003YM02_2S3RNA",29,307
"314","A_M1003YM02_2S3RNA",30,311
"315","A_M1003YM02_2S3RNA",31,311
"316","A_M1003YM02_2S3RNA",32,311
"317","A_M1003YM02_2S3RNA",33,311
"318","A_M1003YM02_2S3RNA",34,311
"319","A_M1003YM02_2S3RNA",35,311
"320","A_M1003YM02_2S3RNA",36,311
"321","A_M1003YM02_2S3RNA",37,311
"322","A_M1003YM02_2S3RNA",38,311
"323","A_M1003YM02_2S3RNA",39,311
"324","A_M1003YM02_2S3RNA",40,311
"325","A_M1003YM02_3S1RNA",1,102
"326","A_M1003YM02_3S1RNA",2,102
"327","A_M1003YM02_3S1RNA",3,103
"328","A_M1003YM02_3S1RNA",4,103
"329","A_M1003YM02_3S1RNA",5,104
"330","A_M1003YM02_3S1RNA",6,104
"331","A_M1003YM02_3S1RNA",7,106
"332","A_M1003YM02_3S1RNA",8,106
"333","A_M1003YM02_3S1RNA",9,106
"334","A_M1003YM02_3S1RNA",10,202
"335","A_M1003YM02_3S1RNA",11,203
"336","A_M1003YM02_3S1RNA",12,203
"337","A_M1003YM02_3S1RNA",13,203
"338","A_M1003YM02_3S1RNA",14,204
"339","A_M1003YM02_3S1RNA",15,205
"340","A_M1003YM02_3S1RNA",16,205
"341","A_M1003YM02_3S1RNA",17,205
"342","A_M1003YM02_3S1RNA",18,301
"343","A_M1003YM02_3S1RNA",19,304
"344","A_M1003YM02_3S1RNA",20,304
"345","A_M1003YM02_3S1RNA",21,304
"346","A_M1003YM02_3S1RNA",22,304
"347","A_M1003YM02_3S1RNA",23,306
"348","A_M1003YM02_3S1RNA",24,306
"349","A_M1003YM02_3S1RNA",25,306
"350","A_M1003YM02_3S1RNA",26,308
"351","A_M1003YM02_3S1RNA",27,308
"352","A_M1003YM02_3S1RNA",28,311
"353","A_M1003YM02_3S1RNA",29,311
"354","A_M1003YM02_3S1RNA",30,311
"355","A_M1003YM02_3S1RNA",31,311
