,RunName,win60s,drowsy,new,c,0,1
101,A_M1002YM01_1S1RNA,14,False,14A_M1002YM01_1S1RNA,203.0,0.11562258,0.8843774
102,A_M1002YM01_1S1RNA,15,False,15A_M1002YM01_1S1RNA,204.0,0.95419186,0.04580811
103,A_M1002YM01_1S1RNA,16,False,16A_M1002YM01_1S1RNA,205.0,0.1410948,0.85890526
104,A_M1002YM01_1S1RNA,17,False,17A_M1002YM01_1S1RNA,205.0,0.9995809,0.00041902746
105,A_M1002YM01_1S1RNA,18,False,18A_M1002YM01_1S1RNA,205.0,0.8881776,0.11182247
106,A_M1002YM01_1S1RNA,19,False,19A_M1002YM01_1S1RNA,206.0,0.9999957,4.2503802e-06
107,A_M1002YM01_1S1RNA,20,False,20A_M1002YM01_1S1RNA,303.0,0.99943227,0.0005677033
108,A_M1002YM01_1S1RNA,21,False,21A_M1002YM01_1S1RNA,304.0,0.884787,0.11521302
109,A_M1002YM01_1S1RNA,22,False,22A_M1002YM01_1S1RNA,304.0,0.99971074,0.00028927778
110,A_M1002YM01_1S1RNA,23,False,23A_M1002YM01_1S1RNA,304.0,0.27503774,0.7249623
111,A_M1002YM01_1S1RNA,24,False,24A_M1002YM01_1S1RNA,305.0,0.9981791,0.0018209388
112,A_M1002YM01_1S1RNA,25,False,25A_M1002YM01_1S1RNA,306.0,0.9999944,5.6511717e-06
113,A_M1002YM01_1S1RNA,26,False,26A_M1002YM01_1S1RNA,306.0,0.94062483,0.05937512
114,A_M1002YM01_1S1RNA,27,False,27A_M1002YM01_1S1RNA,306.0,0.99417555,0.0058244364
115,A_M1002YM01_1S1RNA,28,False,28A_M1002YM01_1S1RNA,308.0,0.99999535,4.7049016e-06
116,A_M1002YM01_1S1RNA,29,False,29A_M1002YM01_1S1RNA,308.0,0.06840633,0.93159366
117,A_M1002YM01_2S2RNA,1,False,1A_M1002YM01_2S2RNA,111.0,0.97916436,0.020835616
